name,partyName,state,chamber,congress,last_name
"Himes, James A.",Democratic,Connecticut,House of Representatives,115,Himes
"Larson, John B.",Democratic,Connecticut,House of Representatives,115,Larson
"DeGette, Diana",Democratic,Colorado,House of Representatives,115,DeGette
"Waters, Maxine",Democratic,California,House of Representatives,115,Waters
"Norton, Eleanor Holmes",Democratic,District of Columbia,House of Representatives,115,Norton
"Issa, Darrell",Republican,California,House of Representatives,115,Issa
"Calvert, Ken",Republican,California,House of Representatives,115,Calvert
"DeLauro, Rosa L.",Democratic,Connecticut,House of Representatives,115,DeLauro
"Gomez, Jimmy",Democratic,California,House of Representatives,115,Gomez
"Carbajal, Salud O.",Democratic,California,House of Representatives,115,Carbajal
"Panetta, Jimmy",Democratic,California,House of Representatives,115,Panetta
"Khanna, Ro",Democratic,California,House of Representatives,115,Khanna
"Torres, Norma J.",Democratic,California,House of Representatives,115,Torres
"Lieu, Ted",Democratic,California,House of Representatives,115,Lieu
"Aguilar, Pete",Democratic,California,House of Representatives,115,Aguilar
"Ruiz, Raul",Democratic,California,House of Representatives,115,Ruiz
"Brownley, Julia",Democratic,California,House of Representatives,115,Brownley
"Valadao, David G.",Republican,California,House of Representatives,115,Valadao
"Swalwell, Eric",Democratic,California,House of Representatives,115,Swalwell
"Chu, Judy",Democratic,California,House of Representatives,115,Chu
"Sherman, Brad",Democratic,California,House of Representatives,115,Sherman
"Costa, Jim",Democratic,California,House of Representatives,115,Costa
"Sánchez, Linda T.",Democratic,California,House of Representatives,115,Sánchez
"Lofgren, Zoe",Democratic,California,House of Representatives,115,Lofgren
"Biggs, Andy",Republican,Arizona,House of Representatives,115,Biggs
"DeSaulnier, Mark",Democratic,California,House of Representatives,115,DeSaulnier
"Westerman, Bruce",Republican,Arkansas,House of Representatives,115,Westerman
"Hill, J. French",Republican,Arkansas,House of Representatives,115,Hill
"Radewagen, Aumua Amata Coleman",Republican,American Samoa,House of Representatives,115,Radewagen
"Palmer, Gary J.",Republican,Alabama,House of Representatives,115,Palmer
"Bera, Ami",Democratic,California,House of Representatives,115,Bera
"Huffman, Jared",Democratic,California,House of Representatives,115,Huffman
"LaMalfa, Doug",Republican,California,House of Representatives,115,LaMalfa
"Garamendi, John",Democratic,California,House of Representatives,115,Garamendi
"Schweikert, David",Republican,Arizona,House of Representatives,115,Schweikert
"Gosar, Paul A.",Republican,Arizona,House of Representatives,115,Gosar
"Womack, Steve",Republican,Arkansas,House of Representatives,115,Womack
"Crawford, Eric A. ""Rick""",Republican,Arkansas,House of Representatives,115,Crawford
"Sewell, Terri A.",Democratic,Alabama,House of Representatives,115,Sewell
"McClintock, Tom",Republican,California,House of Representatives,115,McClintock
"Matsui, Doris O.",Democratic,California,House of Representatives,115,Matsui
"Pelosi, Nancy",Democratic,California,House of Representatives,115,Pelosi
"Thompson, Mike",Democratic,California,House of Representatives,115,Thompson
"Aderholt, Robert B.",Republican,Alabama,House of Representatives,115,Aderholt
"Rogers, Mike D.",Republican,Alabama,House of Representatives,115,Rogers
"Curtis, John R.",Republican,Utah,House of Representatives,115,Curtis
"Gallagher, Mike",Republican,Wisconsin,House of Representatives,115,Gallagher
"Gaetz, Matt",Republican,Florida,House of Representatives,115,Gaetz
"Cicilline, David N.",Democratic,Rhode Island,House of Representatives,115,Cicilline
"Johnson, Bill",Republican,Ohio,House of Representatives,115,Johnson
"McCarthy, Kevin",Republican,California,House of Representatives,115,McCarthy
"Higgins, Brian",Democratic,New York,House of Representatives,115,Higgins
"Grijalva, Raúl M.",Democratic,Arizona,House of Representatives,115,Grijalva
"Budd, Ted",Republican,North Carolina,House of Representatives,115,Budd
"Love, Mia B.",Republican,Utah,House of Representatives,115,Love
"Lowey, Nita M.",Democratic,New York,House of Representatives,115,Lowey
"Banks, Jim",Republican,Indiana,House of Representatives,115,Banks
"Young, Todd",Republican,Indiana,House of Representatives,115,Young
"Wyden, Ron",Democratic,Oregon,House of Representatives,115,Wyden
"Warren, Elizabeth",Democratic,Massachusetts,Senate,115,Warren
"Whitehouse, Sheldon",Democratic,Rhode Island,Senate,115,Whitehouse
"Warner, Mark R.",Democratic,Virginia,Senate,115,Warner
"Wicker, Roger F.",Republican,Mississippi,House of Representatives,115,Wicker
"Van Hollen, Chris",Democratic,Maryland,House of Representatives,115,Van Hollen
"Smith, Tina",Democratic,Minnesota,Senate,115,Smith
"Tillis, Thomas",Republican,North Carolina,Senate,115,Tillis
"Sullivan, Dan",Republican,Alaska,Senate,115,Sullivan
"Thune, John",Republican,South Dakota,House of Representatives,115,Thune
"Shaheen, Jeanne",Democratic,New Hampshire,Senate,115,Shaheen
"Rounds, Mike",Republican,South Dakota,Senate,115,Rounds
"Schatz, Brian",Democratic,Hawaii,Senate,115,Schatz
"Scott, Tim",Republican,South Carolina,House of Representatives,115,Scott
"Schumer, Charles E.",Democratic,New York,House of Representatives,115,Schumer
"Sanders, Bernard",Independent,Vermont,House of Representatives,115,Sanders
"Schiff, Adam B.",Democratic,California,House of Representatives,115,Schiff
"Rosen, Jacky",Democratic,Nevada,House of Representatives,115,Rosen
"Peters, Gary C.",Democratic,Michigan,House of Representatives,115,Peters
"Risch, James E.",Republican,Idaho,Senate,115,Risch
"Reed, Jack",Democratic,Rhode Island,House of Representatives,115,Reed
"Paul, Rand",Republican,Kentucky,Senate,115,Paul
"Murray, Patty",Democratic,Washington,Senate,115,Murray
"Mullin, Markwayne",Republican,Oklahoma,House of Representatives,115,Mullin
"Murphy, Christopher",Democratic,Connecticut,House of Representatives,115,Murphy
"Moran, Jerry",Republican,Kansas,House of Representatives,115,Moran
"Murkowski, Lisa",Republican,Alaska,Senate,115,Murkowski
"Marshall, Roger",Republican,Kansas,House of Representatives,115,Marshall
"Merkley, Jeff",Democratic,Oregon,Senate,115,Merkley
"Markey, Edward J.",Democratic,Massachusetts,House of Representatives,115,Markey
"McConnell, Mitch",Republican,Kentucky,Senate,115,McConnell
"King, Angus S., Jr.",Independent,Maine,Senate,115,King
"Klobuchar, Amy",Democratic,Minnesota,Senate,115,Klobuchar
"Lee, Mike",Republican,Utah,Senate,115,Lee
"Lankford, James",Republican,Oklahoma,House of Representatives,115,Lankford
"Kennedy, John",Republican,Louisiana,Senate,115,Kennedy
"Kaine, Tim",Democratic,Virginia,Senate,115,Kaine
"Hyde-Smith, Cindy",Republican,Mississippi,Senate,115,Hyde-Smith
"Johnson, Ron",Republican,Wisconsin,Senate,115,Johnson
"Hoeven, John",Republican,North Dakota,Senate,115,Hoeven
"Hirono, Mazie K.",Democratic,Hawaii,House of Representatives,115,Hirono
"Hassan, Margaret Wood",Democratic,New Hampshire,Senate,115,Hassan
"Heinrich, Martin",Democratic,New Mexico,House of Representatives,115,Heinrich
"Grassley, Chuck",Republican,Iowa,House of Representatives,115,Grassley
"Gallego, Ruben",Democratic,Arizona,House of Representatives,115,Gallego
"Fischer, Deb",Republican,Nebraska,Senate,115,Fischer
"Gillibrand, Kirsten E.",Democratic,New York,House of Representatives,115,Gillibrand
